channel_id,name,organization,team_studio,content_type
UCIITmFAHQ4S1FMDWqhZyQKg,fókuszcsoport,Cérnagyár,Fókusz Stúdió,Entertainment
UC9qpYwK7N9EB0-SECANa23g,JÓLVANEZÍGY,Cérnagyár,Fókusz Stúdió,Entertainment
UCDwyp7fW0R8b27muWFEAgvQ,Világjegy,Cérnagyár,Fókusz Stúdió,Entertainment
UC3T5ogRHZVB3jEO5WFvzmIQ,VÁLSÁGSTÁB,Cérnagyár,Fókusz Stúdió,Entertainment
UCpj5XSIwGUaaoVDZnVCBj8Q,Kultúrsokk,Cérnagyár,Fókusz Stúdió,Entertainment
UCfS72Yr7hFsHClD3krlP9UA,KÓKUSZ+,Cérnagyár,Fókusz Stúdió,Entertainment
UCrpWCVp9FuGA8OnGtA0rgsw,TheVR,TheVR,TheVR,Entertainment
UCSFMCn1xtj_4kOy6KNK_fNg,TheVR Gaming+,TheVR,TheVR,Entertainment
UCTY9vSAwOVsXw1lE1vBD0Hg,TheVR Podcast,TheVR,TheVR,Entertainment
UCnoVsxmXRCq3935G40SdBKA,TheVR Shortcut,TheVR,TheVR,Entertainment
UCDeRsDqcB8zdkzErxrdHCOw,TheVR Tech,TheVR,TheVR,Entertainment
UCQYlMOshLHIfOqjZjlpkLyQ,APUTEST Gaming,TheVR,Aputest,Entertainment
